Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
B1_1X1_P06,T3,B1,1X1,P06,Pocillopora,Enriched,1.615,1,1,T3
B1_1X1_P06,T9,B1,1X1,P06,Pocillopora,Enriched,7.966,0,1,T3
B1_1X1_P07,T6,B1,1X1,P07,Pocillopora,Enriched,2.851,1,1,T6
B1_1X1_P07,T9,B1,1X1,P07,Pocillopora,Enriched,3.379,0,1,T6
B1_1X1_P09,T6,B1,1X1,P09,Pocillopora,Enriched,3.62,1,1,T6
B1_1X1_P09,T9,B1,1X1,P09,Pocillopora,Enriched,4.633,0,1,T6
B1_2X2_P10,T3,B1,2X2,P10,Pocillopora,Enriched,3.37,1,1,T3
B1_2X2_P10,T6,B1,2X2,P10,Pocillopora,Enriched,4.917,0,1,T3
B1_2X2_P10,T9,B1,2X2,P10,Pocillopora,Enriched,7.01,0,1,T3
B1_2X2_P11,T3,B1,2X2,P11,Pocillopora,Enriched,2.521,1,1,T3
B1_2X2_P11,T6,B1,2X2,P11,Pocillopora,Enriched,5.288,0,1,T3
B1_2X2_P11,T9,B1,2X2,P11,Pocillopora,Enriched,9.486,0,1,T3
B1_2X2_P12,T6,B1,2X2,P12,Pocillopora,Enriched,5.713,1,1,T6
B1_2X2_P12,T9,B1,2X2,P12,Pocillopora,Enriched,10.36,0,1,T6
B1_2X2_P13,T3,B1,2X2,P13,Pocillopora,Enriched,2.092,1,1,T3
B1_2X2_P13,T6,B1,2X2,P13,Pocillopora,Enriched,6.599,0,1,T3
B1_2X2_P13,T9,B1,2X2,P13,Pocillopora,Enriched,10.414,0,1,T3
B1_2X2_P14A,T6,B1,2X2,P14A,Pocillopora,Enriched,2.853,1,1,T6
B1_2X2_P14A,T9,B1,2X2,P14A,Pocillopora,Enriched,4.29,0,1,T6
B1_2X2_P14B,T3,B1,2X2,P14B,Pocillopora,Enriched,3.294,1,1,T3
B1_2X2_P14B,T6,B1,2X2,P14B,Pocillopora,Enriched,6.692,0,1,T3
B1_2X2_P14B,T9,B1,2X2,P14B,Pocillopora,Enriched,10.776,0,1,T3
B1_2X2_P15,T3,B1,2X2,P15,Pocillopora,Enriched,2.813,0,1,T0
