Un_ID,Timepoint,Un_id_tp,Block_plot,Herbivory_trt,Coral_Id,Coral_genus,Enrichment_trt,Recruitment,Alive,Notes1,Rec_timepoint
A4_1X1_P17,T3,A4_1X1_P17_T3,A4,1X1,P17,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P17,T6,A4_1X1_P17_T6,A4,1X1,P17,Pocillopora,Ambient,0,1,,T3
A4_1X1_P18,T9,A4_1X1_P18_T9,A4,1X1,P18,Pocillopora,Ambient,0,0,,T6
A4_1X1_P18,T6,A4_1X1_P18_T6,A4,1X1,P18,Pocillopora,Ambient,1,1,,T6
A4_1X1_P19,T6,A4_1X1_P19_T6,A4,1X1,P19,Pocillopora,Ambient,0,1,,T3
A4_1X1_P19,T9,A4_1X1_P19_T9,A4,1X1,P19,Pocillopora,Ambient,0,0,,T3
A4_1X1_P19,T3,A4_1X1_P19_T3,A4,1X1,P19,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P02,T9,A4_1X1_P2_T9,A4,1X1,P02,Pocillopora,Ambient,0,0,,T3
A4_1X1_P02,T3,A4_1X1_P2_T3,A4,1X1,P02,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P02,T6,A4_1X1_P2_T6,A4,1X1,P02,Pocillopora,Ambient,0,1,,T3
A4_1X1_P20,T6,A4_1X1_P20_T6,A4,1X1,P20,Pocillopora,Ambient,1,1,,T6
A4_1X1_P20,T9,A4_1X1_P20_T9,A4,1X1,P20,Pocillopora,Ambient,0,0,,T6
A4_1X1_P21,T9,A4_1X1_P21_T9,A4,1X1,P21,Pocillopora,Ambient,0,1,,T6
A4_1X1_P21,T6,A4_1X1_P21_T6,A4,1X1,P21,Pocillopora,Ambient,1,1,,T6
A4_1X1_P22,T9,A4_1X1_P22_T9,A4,1X1,P22,Pocillopora,Ambient,0,1,,T6
A4_1X1_P22,T6,A4_1X1_P22_T6,A4,1X1,P22,Pocillopora,Ambient,1,1,,T6
A4_1X1_P23,T3,A4_1X1_P23_T3,A4,1X1,P23,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P23,T9,A4_1X1_P23_T9,A4,1X1,P23,Pocillopora,Ambient,0,0,,T3
A4_1X1_P23,T6,A4_1X1_P23_T6,A4,1X1,P23,Pocillopora,Ambient,0,1,,T3
A4_1X1_P24,T9,A4_1X1_P24_T9,A4,1X1,P24,Pocillopora,Ambient,1,1,"growing in from under skirt, likely recruited a while ago",T9
A4_1X1_P25,T9,A4_1X1_P25_T9,A4,1X1,P25,Pocillopora,Ambient,1,1,,T3
A4_1X1_P25,T6,A4_1X1_P25_T6,A4,1X1,P25,Pocillopora,Ambient,0,1,"can't see, but is alive at T9",T3
A4_1X1_P25,T3,A4_1X1_P25_T3,A4,1X1,P25,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P26,T9,A4_1X1_P26_T9,A4,1X1,P26,Pocillopora,Ambient,1,1,,T9
A4_1X1_P27,T9,A4_1X1_P27_T9,A4,1X1,P27,Pocillopora,Ambient,1,1,,T9
A4_1X1_P28,T9,A4_1X1_P28_T9,A4,1X1,P28,Pocillopora,Ambient,1,1,,T9
